	beleef/verb	opdracht/noun	verhouding/noun	rook/noun	speler/noun	wieler_sport/noun	vorm/verb	selecteer/verb	soms/adv	ben/verb	spier_pijn/noun	Hilversums/adj	behoorlijk/adj	heb/verb	dring_binnen/verb	buurt/noun	oppervlak/noun	discipline/noun	provincie_raad_lid/noun	stress/noun	vind/verb	list/noun	golfplaat/noun	smerig/adj	sterk/verb	zwem/verb	gewoon/adj	angst/noun	overigens/adv	pijn/noun	zo/adv	vooral/adv	dag/noun	nauwelijks/adv	oorlog_ervaring/noun	minder/adj	voeg_toe/verb	werkelijk/adv	hitte/noun	meer/adv	hier/adv	systeem/noun	sla/verb	zeg/verb	ga_door/verb	vuiligheid/noun	lucht/noun	laag/adj	duur/adv	jeugd/noun	snel/adj	stank/noun	fiets/noun	stel_uit/verb	alleen/adv	blijkbaar/adj	sociaal/adj	haast/adv	student/noun	verdriet/noun	moet/verb	zeer/adv	jarenlang/adj	buiten/adv	mentaal/adj	week/adj	maar/adv	draai/verb	simpelweg/adv	thuis/adv	kan/verb	eerst/adv	fiets/verb	verlokking/noun	er/adv	vooruitzicht/noun	eigenlijk/adj	wellicht/adv	bezoeker/noun	huid/noun	niet/adv	vervolg/noun	dan/adv	eenmaal/noun	luid/verb	gevormd/adj	verspreid/verb	nog/adv	werk/noun	moreel/adj	waterput/noun	rest/verb	zaak/noun	meestal/adv	wenk/verb	duik_op/verb	slijp/verb	reuk/noun	daar/adv	werk_omstandigheid/noun	overlast/noun	geur/noun	wijs_uit/verb	even/adj	verschrikkelijk/adj	2001/noun	in_activiteit/noun	minstens/adv	teen/noun	kern/noun	schaar/verb	kaas/noun	operatie/noun	inmiddels/adv	beetje/noun	evengoed/adv	weer/noun	betref/verb	makkelijk/adj	verleden/noun	bijna/adv	vrolijk/adj	wel/adv	vaak/adj	zeeman/noun	professioneel/adj	karakter/noun	droog/verb	toch/adv	train/verb	Koreaan/noun	gips/noun	geheel/noun	strijd/noun	rijp/verb	omtrek/noun	katalysator/noun	helemaal/adv	pupil/noun	net/adv	blijk/verb	maand/noun	extern/adj	weer/adv	moeilijk/adj	extreem/adj	beslotenheid/noun	louter/adj	alleen/adj	intussen/adv	anders/adj	monotoon/adj	sprong/noun	echt/adv	verander/verb	fit/adj	voldoende/adj	verkeer/noun	water/noun	amper/adv	daglicht/noun	kind/noun	afloop/noun	leven/noun	langer/adv	bloem/noun	ziel/noun	stilte/noun	week/noun	leeftijd/noun	sloop/adj	concurrentie/noun	toerist/noun	huid_ziekte/noun	val/verb	coach/noun
beleef/verb	0.0	0.83241636	0.8558662	0.9529204	0.85768086	0.6650175	0.93449265	0.9160507	0.634781	0.6744267	0.79597425	0.85472727	0.74105227	0.69201267	0.9401263	0.8770783	0.9539957	0.73700315	0.9648996	0.7789439	0.7665484	0.9247095	0.9039042	0.9155459	0.71495175	0.81896657	0.7873219	0.78108263	0.8255274	0.74500275	0.7922604	0.6912053	0.68762136	0.74913555	0.8443647	0.83267313	0.89783627	0.77299887	0.8731797	0.83481896	0.66221726	0.9731696	0.9247672	0.84477854	0.839058	0.8770027	0.78311026	0.90429354	0.805655	0.53601503	0.88492733	0.9063426	0.76195735	0.83420455	0.7884183	0.6927227	0.89089715	0.68076634	0.9184412	0.7207972	0.86718655	0.81807643	0.84211046	0.849099	0.7841908	0.9116897	0.78841347	0.7710533	0.79102886	0.75222313	0.75468147	0.9107904	0.68781734	0.75340414	0.67518103	0.8233166	0.76600343	0.74079376	0.80584276	0.97502667	0.8268397	0.9072237	0.73827755	0.84807885	0.92977595	0.8395937	0.91287774	0.7625923	0.79069424	0.8494511	0.8959348	0.74200904	0.87399507	0.74745643	0.8410891	0.7536425	0.9106915	0.9553303	0.7070443	0.79471636	0.8559246	0.9064787	0.8502038	0.74773026	0.7272231	0.9478551	0.834671	0.7525442	0.9411479	0.918347	0.96040285	0.9812181	0.86770445	0.91866225	0.7491554	0.67451084	0.79912126	0.78197414	0.7640557	0.8462471	0.6848104	0.7042949	0.78379804	0.6761276	0.8031191	0.74969465	0.786343	0.92194605	0.72079444	0.6346783	0.83964264	0.8438184	0.81323135	0.9095742	0.7240555	0.92900115	0.92635113	0.7348545	0.8248515	0.83125645	0.8151376	0.82294244	0.9610318	0.7279659	0.6256258	0.8303943	0.76697344	0.8196765	0.7576072	0.86159915	0.7449938	0.7720208	0.8706511	0.7365779	0.74488187	0.8274048	0.9182807	0.86843514	0.85787505	0.7390634	0.7720936	0.72494054	0.8137237	0.6976831	0.936024	0.8978114	0.8237815	0.59933704	0.7822509	0.8068787	0.70213306	0.82573676	0.81123334	0.9137631	0.65147746	0.9385288
opdracht/noun	0.83241636	0.0	0.85902923	0.95146644	0.80004925	0.8185059	0.93330866	0.6822726	0.7152579	0.71052665	0.96920985	0.9148236	0.8204055	0.83995897	0.93509424	0.9391969	0.90266275	0.7036258	0.9496969	0.86469746	0.7256495	0.887585	0.94818074	0.94508666	0.88835466	0.9654927	0.9225875	0.90172243	0.8434036	0.91798043	0.63681424	0.87268573	0.83733475	0.92342	0.97413313	0.849178	0.94905317	0.9236004	0.8869862	0.8649564	0.87715995	0.8154453	0.9282992	0.83139014	0.9058814	0.8729575	0.9395087	0.92134	0.7717885	0.85753596	0.9021117	0.89205295	0.87567663	0.92282915	0.83980626	0.7708227	0.8940755	0.7438209	0.8251846	0.84428716	0.86886466	0.78664863	0.93092453	0.9294988	0.6879239	0.92506313	0.8144267	0.92582005	0.81948256	0.8413279	0.7499567	0.90378577	0.9444064	0.86436176	0.83527267	0.7896975	0.90358764	0.79227567	0.8882371	0.8878557	0.85442066	0.9440007	0.7358969	0.9165074	0.8043722	0.85761887	0.8956465	0.8448739	0.72004104	0.7324831	0.8924103	0.8787237	0.7969462	0.83229697	0.77403206	0.9520667	0.90536237	0.93606573	0.8822889	0.74897915	0.97658986	0.9520712	0.85669875	0.75842804	0.88521296	0.91615725	0.9036547	0.92135346	0.97347313	0.8770042	0.876795	0.9510465	0.7839335	0.893412	0.92282224	0.788792	0.86468434	0.86258936	0.7737603	0.9541954	0.94408154	0.85564363	0.8451302	0.78882056	0.8656677	0.78231573	0.7281323	0.9576439	0.8413875	0.86261815	0.89814126	0.9162645	0.89683276	0.8071662	0.96041	0.96664876	0.8455838	0.94856703	0.85761476	0.83617663	0.8550158	0.8815256	0.6691539	0.9199611	0.7953924	0.89520025	0.9796878	0.8268039	0.79394805	0.8439146	0.717396	0.8313743	0.86346155	0.8640892	0.93991566	0.87864554	0.90651864	0.96737826	0.96729827	0.91180956	0.9567383	0.90512526	0.78100616	0.86980426	0.84725857	0.9435408	0.8532282	0.8098669	0.8739122	0.86288357	0.7812925	0.7352443	0.89986134	0.9749728	0.81707406	0.78590804
verhouding/noun	0.8558662	0.85902923	0.0	0.94525	0.9480292	0.796495	0.80433905	0.96278036	0.83893275	0.7732729	0.8833605	0.84391844	0.8132548	0.8297061	0.80753785	0.86968076	0.61040294	0.75928944	0.9852137	0.9373432	0.90515196	0.955485	0.9002207	0.91196245	0.87403214	0.9606001	0.9338284	0.92955625	0.8328838	0.92476034	0.8517063	0.8327844	0.98347056	0.8381216	0.86098665	0.8993407	0.8923729	0.8065307	0.89854145	0.9465351	0.7924744	0.6280498	0.9374162	0.91929144	0.9675764	0.96343356	0.8661102	0.66743135	0.8545228	0.8190633	0.82490414	0.96706265	0.89665323	0.95826393	0.87823796	0.8117329	0.7348736	0.7712758	0.9055901	0.9302433	0.85493493	0.7249115	0.876167	0.9956939	0.78055394	0.8475875	0.9371571	0.81981564	0.8107548	0.9515008	0.8493615	0.8504446	0.89976037	0.9470333	0.8555317	0.9001118	0.8771165	0.8773414	0.9870096	0.6698896	0.8935218	0.97132653	0.90158176	0.8333249	0.9484035	0.5795644	0.71429044	0.93458176	0.8898902	0.80791926	0.9995348	0.9212601	0.74132764	0.81626064	0.95950294	0.9144962	0.8256716	0.91476846	0.9267749	0.80081666	0.88731503	0.907593	0.88749874	0.93891734	0.9638262	0.9303458	0.91197014	0.94245815	0.8651563	0.97623366	0.9711282	0.897783	0.9367277	0.67838037	0.90469706	0.90278363	0.778906	0.7906879	0.86933005	0.8558059	0.7817104	0.8581482	0.837153	0.80271137	0.86841345	0.80251634	0.64196897	0.88901484	0.8628656	0.92315054	0.946406	0.9939723	0.8318845	0.8661676	0.94142085	0.6677132	0.86130905	0.81161517	0.8560983	0.89078516	0.8622732	0.9669166	0.9145367	0.94400126	0.84147775	0.757212	0.9536188	0.7571168	0.84989667	0.8584723	0.8799935	0.8429611	0.8864176	0.8556415	0.71820736	0.9618241	0.90502876	0.9152095	0.797915	0.9055703	0.86839795	0.9501369	0.9578009	0.71100426	0.9588902	0.7112404	0.6502472	0.9279804	0.98605	0.8592318	0.89350843	0.7029855	0.8547175	0.9413495	0.90493536	0.9084954
rook/noun	0.9529204	0.95146644	0.94525	0.0	0.959584	0.98438823	0.91627085	0.96013504	0.70497406	0.81329715	0.8846007	0.8122339	0.7476676	0.9203936	0.49912155	0.69652987	0.6323827	0.92177886	0.97251654	0.7230907	0.8433899	0.8104775	0.7832391	0.42829615	0.96439433	0.77139527	0.8708601	0.7369181	0.93978477	0.8824395	0.852305	0.80596566	0.87046134	0.84289646	0.94037277	0.79658484	0.8763846	0.8944195	0.4494661	0.8739814	0.818028	0.77159566	0.57563764	0.9584193	0.9650851	0.5869831	0.38933295	0.84225565	0.8799735	0.86507285	0.77889496	0.35050136	0.88038146	0.92230815	0.85411674	0.85410714	0.9601709	0.7866909	0.95919895	0.97551984	0.90033084	0.7758421	0.86639977	0.54407907	0.9251284	0.9146279	0.92914	0.8340899	0.7641277	0.9557667	0.8846615	0.85304844	0.829376	0.92498857	0.81823367	0.9228663	0.87605196	0.82590353	0.81325597	0.7106153	0.90831745	0.7543142	0.9067607	0.71113384	0.9774473	0.87941355	0.35044783	0.9385578	0.88971245	0.9693943	0.7845586	0.82629883	0.7845999	0.86639583	0.85178995	0.8061756	0.9071928	0.5743537	0.79443294	0.85946393	0.67302656	0.24196136	0.73742956	0.8556282	0.6004009	0.9781682	0.98477787	0.9642363	0.8396053	0.9447254	0.9799126	0.8036865	0.9745039	0.79150325	0.84121346	0.85177934	0.64424956	0.9165173	0.8509834	0.82644635	0.8801135	0.87542045	0.92689943	0.85686517	0.79191315	0.9554673	0.8282552	0.7245617	0.91599935	0.86415726	0.976732	0.9038679	0.9346646	0.8439411	0.9429139	0.7508374	0.7368524	0.8596508	0.9593061	0.8727471	0.8667264	0.9899097	0.8539912	0.86282873	0.854829	0.6604551	0.9426843	0.8807706	0.8960458	0.8386977	0.92370695	0.86397314	0.8309324	0.7411741	0.8245776	0.89516497	0.88422894	0.8304481	0.5190834	0.88492006	0.8758946	0.9246143	0.91002196	0.9271003	0.9273233	0.70088744	0.87804884	0.7937093	0.9478606	0.97779304	0.8025873	0.9411018	0.88470465	0.9660962	0.8325829	0.9666923
speler/noun	0.85768086	0.80004925	0.9480292	0.959584	0.0	0.7874677	0.76283705	0.38252932	0.8125495	0.6257862	0.8367516	0.9266255	0.67759603	0.8048775	0.97837996	0.97378594	0.93936867	0.6181154	0.9830355	0.80624425	0.86712444	0.93442833	0.9699215	0.96446705	0.71798	0.8182632	0.901332	0.91866976	0.8654196	0.8471865	0.85236174	0.7250448	0.78753495	0.8137459	0.953711	0.81558126	0.80649287	0.9329586	0.8815588	0.7851187	0.84912044	0.8440216	0.9531612	0.6824355	0.9300688	0.9463726	0.94709045	0.91040105	0.8792954	0.7513831	0.8352164	0.96985584	0.9354058	0.90232086	0.84763026	0.7800063	0.86637825	0.74025834	0.7231815	0.9106629	0.74119234	0.7600156	0.8618136	0.9129955	0.53412527	0.8817187	0.8765414	0.91673607	0.89748573	0.89399326	0.7822256	0.77644295	0.8510082	0.9445839	0.76937723	0.8820712	0.9018877	0.61451006	0.8330109	0.9596075	0.7212088	0.9771146	0.7925576	0.76140827	0.8520413	0.84963346	0.97470117	0.7105558	0.7852853	0.7278862	0.95834523	0.79421484	0.8045815	0.8625729	0.87708557	0.93454826	0.8952954	0.9262787	0.8587911	0.6423837	0.92904973	0.9514361	0.82935095	0.82791877	0.8829741	0.94882727	0.6807177	0.85032535	0.8513925	0.4226495	0.9128641	0.8398125	0.8424325	0.91180736	0.8688711	0.8589487	0.88278455	0.8052345	0.8697265	0.9410844	0.8756052	0.8170973	0.80693865	0.81174016	0.8780188	0.6954789	0.7648748	0.8521848	0.72010446	0.4853621	0.67711383	0.81168854	0.9190738	0.8538524	0.81650674	0.91964716	0.80947673	0.69439274	0.5768164	0.83859867	0.7626622	0.7528929	0.7505342	0.707327	0.7299814	0.9248775	0.91828734	0.74728775	0.84275305	0.81763846	0.82712233	0.78471476	0.6919248	0.93098485	0.83210933	0.44068742	0.47194457	0.9035092	0.9580651	0.7691004	0.92621624	0.87183917	0.780783	0.8929057	0.79881597	0.9521211	0.88395256	0.9094536	0.6947354	0.60339016	0.6214352	0.82475203	0.94647855	0.8727299	0.8973459	0.44059646
wieler_sport/noun	0.6650175	0.8185059	0.796495	0.98438823	0.7874677	0.0	0.8638176	0.78371036	0.8100505	0.7205192	0.85158676	0.80946916	0.7862476	0.75373733	0.91495436	0.9414778	0.87372285	0.41496515	0.9869362	0.8673672	0.89930373	0.86174905	0.9934039	0.92642117	0.7199271	0.71149474	0.8314049	0.8912925	0.78883374	0.8924901	0.84362614	0.7302323	0.7997277	0.8180605	0.9614267	0.87085456	0.83171874	0.90545297	0.88347846	0.839302	0.77444667	0.824685	0.92418075	0.92246294	0.89815867	0.98217994	0.9409689	0.96480316	0.7859038	0.6238598	0.8627149	0.95599467	0.7404572	0.9195498	0.76037997	0.8203657	0.84987164	0.7194704	0.8269255	0.85102314	0.8112672	0.7395774	0.8381489	0.93009657	0.62408054	0.8863132	0.8243923	0.80099857	0.7859491	0.8764181	0.80131674	0.93311083	0.6934341	0.95987874	0.8184483	0.87969697	0.7429693	0.9097361	0.95632344	0.95546794	0.7884462	0.9119472	0.8810974	0.9097492	0.9187864	0.7516167	0.96024185	0.88843673	0.7333219	0.58903116	0.9096928	0.87253535	0.73345506	0.8275283	0.9796352	0.9053071	0.9478453	0.86623514	0.8589661	0.8038536	0.923942	0.95844793	0.91945815	0.8798427	0.8888128	0.97738993	0.93259364	0.93959755	0.97236973	0.9573251	0.962836	0.9140104	0.8755964	0.81371534	0.8298212	0.763965	0.8488846	0.6615812	0.87044114	0.8629807	0.89410836	0.7639092	0.8582373	0.757249	0.91824585	0.42361766	0.5580685	0.92406964	0.83104205	0.7325891	0.90510505	0.9415465	0.740293	0.7798172	0.92912114	0.9525928	0.88405395	0.8258587	0.65538347	0.847998	0.9244274	0.9176658	0.8385289	0.8227993	0.7762308	0.8928677	0.8521447	0.6106766	0.6781544	0.8455798	0.8055027	0.7760731	0.8575962	0.84755915	0.69227076	0.8582129	0.815632	0.8970957	0.94971055	0.85681057	0.728237	0.88010454	0.90794504	0.784997	0.80911857	0.9511611	0.83911157	0.8809014	0.8772764	0.75555676	0.7113879	0.85832185	0.9047389	0.97650355	0.8418763	0.798712
vorm/verb	0.93449265	0.93330866	0.80433905	0.91627085	0.76283705	0.8638176	0.0	0.81482047	0.7819791	0.7812584	0.9459008	0.8353139	0.81798345	0.7904501	0.8833093	0.87237525	0.78938574	0.8341843	0.9773691	0.9324995	0.940698	0.9731935	0.75556546	0.77920425	0.863527	0.92423844	0.923138	0.8426489	0.8524097	0.9244782	0.89546037	0.7434664	0.9336768	0.78729856	0.9255909	0.8070023	0.54442775	0.93729436	0.7689205	0.9021328	0.896501	0.80062956	0.9547518	0.9838532	0.9601972	0.84791005	0.7980328	0.8545184	0.6510389	0.87770796	0.8471001	0.87084365	0.9732186	0.8863501	0.81065464	0.81570184	0.7854217	0.6905494	0.8930446	0.90303385	0.8695526	0.6246654	0.80652887	0.8695653	0.76605415	0.74434584	0.93642324	0.8084426	0.86536705	0.9618414	0.8528049	0.8106135	0.9097861	0.90130776	0.9357933	0.88514805	0.9087953	0.7637879	0.96997017	0.65016425	0.8975923	0.870752	0.940163	0.8346813	0.9671159	0.62972885	0.7695736	0.95230097	0.91741383	0.85242313	0.88631594	0.87966686	0.79195905	0.8229092	0.9289867	0.83442694	0.86365765	0.9143359	0.8323569	0.88709503	0.8854424	0.85645574	0.9065129	0.92014605	0.8243539	0.8717232	0.88317275	0.8305638	0.7757543	0.75166804	0.9906317	0.7790872	0.86990714	0.8579114	0.82629716	0.9168677	0.87228113	0.8907723	0.8567968	0.85798323	0.81145525	0.737429	0.9004785	0.78160363	0.9326729	0.7940687	0.67171824	0.74599147	0.89755803	0.8591002	0.80511475	0.8479364	0.6904818	0.75363374	0.9003198	0.746151	0.5894486	0.90224755	0.9091344	0.8407059	0.84131646	0.9586154	0.80829924	0.9107153	0.8580298	0.76489687	0.92177	0.82706356	0.8462572	0.9056193	0.91403204	0.7686187	0.8989401	0.962504	0.7681586	0.79982257	0.75589824	0.8953616	0.7588735	0.87760794	0.88291967	0.8318426	0.82280767	0.8677893	0.88968116	0.7216923	0.8150276	0.91358644	0.9563186	0.89890033	0.82707727	0.845519	0.8405607	0.7396157	0.8694255	0.86211586
selecteer/verb	0.9160507	0.6822726	0.96278036	0.96013504	0.38252932	0.78371036	0.81482047	0.0	0.86136615	0.73607796	0.94974333	0.8419118	0.8016793	0.8167448	0.9405251	0.9783081	0.91983634	0.5606295	0.99262285	0.82079583	0.90111166	0.94708955	0.9809328	0.92415446	0.79529405	0.8749827	0.8983193	0.9405893	0.8507917	0.907873	0.93812937	0.69296813	0.8818956	0.87191975	0.9827996	0.8425213	0.7644265	0.7877482	0.90409976	0.88612384	0.86291313	0.8338668	0.9487247	0.8806001	0.9117188	0.9683124	0.9276672	0.9861691	0.84265065	0.8557881	0.94095725	0.90786874	0.8626882	0.89810574	0.865206	0.7913362	0.8113529	0.7032101	0.6439091	0.9261893	0.78044105	0.7892588	0.9092046	0.93638295	0.6084707	0.9279826	0.8796159	0.88405865	0.8466867	0.81271243	0.8566882	0.8424734	0.888543	0.8943803	0.8743117	0.95333457	0.9071813	0.74696994	0.9516655	0.96625406	0.81322366	0.9484076	0.8713515	0.8364181	0.9213257	0.83451486	0.92033756	0.8372932	0.7567501	0.7051488	0.92336756	0.84208643	0.770477	0.77769303	0.9120924	0.9018853	0.93088484	0.9280987	0.9341589	0.70114005	0.93443954	0.9215923	0.78231746	0.93918025	0.94407535	0.9988066	0.80555034	0.8483131	0.91347176	0.5484991	0.8592285	0.9003962	0.8623518	0.87010974	0.94218004	0.80704606	0.919749	0.76198375	0.8587942	0.9605983	0.8550069	0.9168349	0.8852059	0.7974954	0.9249992	0.57801163	0.7953226	0.9452603	0.88904965	0.6388966	0.8055797	0.79728824	0.92595816	0.8544905	0.804588	0.9345815	0.8078884	0.82032955	0.7369678	0.89477855	0.8328999	0.9205857	0.60451484	0.8011183	0.87289935	0.9351728	0.9293532	0.62912464	0.73136425	0.89155114	0.9484916	0.8252564	0.88545966	0.8686249	0.8835128	0.539328	0.67913514	0.935298	0.96934307	0.7996089	0.9599069	0.8657005	0.7850064	0.9164343	0.73864233	0.9298358	0.9284212	0.92017436	0.81311905	0.6659348	0.71255195	0.81531066	0.926778	0.94716805	0.9492979	0.53929895
soms/adv	0.634781	0.7152579	0.83893275	0.70497406	0.8125495	0.8100505	0.7819791	0.86136615	0.0	0.4758631	0.5297513	0.78624547	0.39966488	0.6193428	0.8522029	0.7149507	0.7951454	0.6902257	0.9524875	0.52666235	0.5820402	0.8899527	0.9307664	0.61575925	0.8380227	0.79242647	0.635579	0.5691904	0.68776596	0.44248015	0.67633176	0.62795395	0.6931358	0.69425595	0.77289575	0.63426375	0.8175785	0.8255557	0.6680926	0.73014975	0.589597	0.7863834	0.7240589	0.78575253	0.73406875	0.811676	0.7031028	0.63446355	0.5121542	0.790744	0.7230612	0.67169917	0.76415	0.88822305	0.7116476	0.65044963	0.8444767	0.5650138	0.83746463	0.58522177	0.73734313	0.56074905	0.7547368	0.72152674	0.62896883	0.80302304	0.6862215	0.63781214	0.8073656	0.68604827	0.61182547	0.8048808	0.6549314	0.85060626	0.6658901	0.78113836	0.66733027	0.6815101	0.810666	0.738182	0.7262673	0.8429512	0.6372869	0.8241117	0.9145246	0.7659975	0.7419206	0.747467	0.5672948	0.7727734	0.9003128	0.7255573	0.79961056	0.46585774	0.86520314	0.6578932	0.8423133	0.73740757	0.6562562	0.6134022	0.7063925	0.7103102	0.8340936	0.59908485	0.4474051	0.955371	0.8457128	0.8284328	0.67228574	0.8940875	0.98030895	0.78690547	0.7888403	0.816859	0.4511547	0.58267003	0.6046053	0.72001106	0.6712276	0.7350804	0.6853825	0.54714173	0.5416072	0.3796336	0.69029975	0.7521118	0.6135253	0.79988277	0.54217565	0.59709305	0.7660782	0.84040236	0.70883393	0.75867057	0.77049136	0.88243955	0.68328637	0.77440363	0.8557067	0.7369164	0.69161034	0.8618553	0.79373384	0.663591	0.52752805	0.54028934	0.8079117	0.7291091	0.6169094	0.76365465	0.5996781	0.526639	0.68246984	0.693979	0.714805	0.79567707	0.7991602	0.8113582	0.73102045	0.78939146	0.7837639	0.6575429	0.6030689	0.63879406	0.81407523	0.74599314	0.7219368	0.62605023	0.8283027	0.7557534	0.56498635	0.70249224	0.7900423	0.7937244	0.7325278	0.899143
ben/verb	0.6744267	0.71052665	0.7732729	0.81329715	0.6257862	0.7205192	0.7812584	0.73607796	0.4758631	0.0	0.68627894	0.82748073	0.5359571	0.5283172	0.8979895	0.875245	0.8339942	0.65807754	0.88338137	0.6890049	0.35528558	0.9544021	0.9446589	0.70340264	0.81889784	0.7954769	0.64150846	0.7979768	0.5771264	0.7344886	0.5786483	0.74224335	0.7975375	0.7335118	0.7135452	0.6991898	0.8537066	0.7416714	0.77673125	0.60435784	0.5484563	0.69137985	0.85102105	0.74135923	0.6711162	0.8466393	0.7941519	0.7425439	0.6741295	0.82004505	0.6787211	0.7402278	0.78706557	0.77569014	0.69209206	0.4586717	0.79584295	0.72294974	0.7826363	0.8458611	0.6299813	0.6018771	0.91003823	0.79148775	0.6008915	0.8962893	0.6312758	0.6058086	0.74774694	0.6330701	0.47636908	0.78958845	0.73118305	0.8017027	0.5486139	0.7803571	0.5776794	0.5430818	0.80989856	0.85041296	0.45428705	0.9094454	0.5710295	0.77416146	0.8358116	0.7711711	0.8325386	0.5837494	0.64610505	0.7139076	0.8937968	0.67523575	0.69692874	0.5991132	0.8483583	0.6244644	0.85442454	0.7665314	0.62633264	0.60023284	0.80083406	0.8158861	0.72016287	0.6943824	0.7076125	0.87297654	0.73358995	0.78646624	0.8337334	0.70753014	0.85833967	0.8734286	0.7934839	0.777419	0.6596259	0.7767029	0.63630533	0.5704832	0.66648895	0.798962	0.74014056	0.7265885	0.4507724	0.5817017	0.8042052	0.6571594	0.6637013	0.8260535	0.42259294	0.5943711	0.7174545	0.81723654	0.8096142	0.78544927	0.7746099	0.88873875	0.6630225	0.4851253	0.84505236	0.63484776	0.38152218	0.8296723	0.74644595	0.6025152	0.5386405	0.7647323	0.8266161	0.7216775	0.5774361	0.7373769	0.5651296	0.67868143	0.79975086	0.66940606	0.5297526	0.5568291	0.56635785	0.7853265	0.83062065	0.8354105	0.79685247	0.7288066	0.7874301	0.6992886	0.7011682	0.9406455	0.8888212	0.8114272	0.8147509	0.66195196	0.66369957	0.67149746	0.7693085	0.8016238	0.6712276	0.8637945
