	plek/noun	klink/adj	belofte/noun	republiek/noun	orgasme/noun	compliment/noun	drank/noun	refrein/noun	gevoel/noun	vaderland/noun	gerecht/noun	bed/noun	patent/noun	bijstand/noun	gewaad/noun	zo/adv	uitzicht/noun	moment/noun	euforie/noun	boodschap/noun	koor/noun	werkster/noun	visioen/noun	landschap/noun	interventie/noun	passage/noun	tribunaal/noun	lichaam/noun	kroon/noun	vrede/noun	staat/noun	naam/noun	veeleer/adv	naar/adj	ruimte/noun	haast/adv	status/noun	harmonie/noun	sereniteit/noun	zij/pron	nul/noun	melodie/noun	plezier/noun	maar/adv	rijk/noun	gezang/noun	koor_DIM/noun	blauw/noun	symbool/noun	vuur/noun	dressing/noun	gewelf/noun	geluk/noun	droefheid/noun	paradijselijk/adj	gave/noun	stil/adj	afgezant/noun	voetbal_tempel/noun	herrie/noun	getal/noun	aureool/noun	rust/noun	zaak/noun	haven/noun	hulp/noun	schoonheid/noun	kunst/noun	muziek/noun	komedie/noun	paradijs/noun	stem/noun	ijl/adj	monument/noun	piano_spel/noun	tegelijk/adj	minstens/adv	ding/noun	koning/noun	pad/noun	tip/noun	gestreken/adj	menu/noun	geluid/noun	glimlach/noun	dauw/noun	vaak/adj	vader/noun	perfectie/noun	tafereel/noun	iets/noun	aardappel/noun	stad/noun	tweeling/noun	kleur/noun	het/det	missie/noun	iets/adv	sfeer/noun	tuin/noun	mandaat/noun	zaligheid/noun	maal/noun	optreden/noun	vrijheid/noun	of/vg	ervaring/noun	licht/noun	modder/noun	geschenk/noun	meest/adj	vorst/noun	sopraan/noun	zangeres/noun	lof_trompet/noun	helderheid/noun	sauna/noun	klank/noun	heerlijkheid/noun
maal/noun	0.99705046	0.85300016	0.94101536	0.9858029	0.9930784	0.9105056	0.8972669	0.70297205	0.92970836	0.913457	0.94195515	0.9935586	0.84337175	0.9446241	0.8603437	0.49135864	0.9076611	0.92711943	0.98881567	0.8665058	0.77503103	0.978732	0.8546359	0.88078076	0.92858595	0.82032824	0.8529086	0.91769165	0.9197121	0.8803809	0.9699531	0.9608632	0.97329354	0.8613546	0.837098	0.7780316	0.94509655	0.88208884	0.91130966	0.9074743	0.45910305	0.7412804	0.8768489	0.86126804	0.9820315	0.6767546	0.9734988	0.85675526	0.93072927	0.87254137	0.9854709	0.9977865	0.9676297	0.9844809	0.8957473	0.97744733	0.83666956	0.96978164	0.8890076	0.7632352	0.5863542	0.8662095	0.8734506	0.9527766	1.0	0.9663025	0.8475917	0.90394247	0.7945978	0.87730247	0.98491305	0.76038367	0.69183844	0.97775126	0.8422337	0.85395384	0.6230631	0.97137254	0.9574207	0.9803751	0.8740366	0.9881869	0.9715173	0.735084	0.77871096	0.9013606	0.7111291	0.8749742	0.8854479	0.80260575	0.83481723	0.94053996	0.9981664	0.7922222	0.8644486	0.80741346	0.9388291	0.8926761	0.77857244	0.9568141	0.92944944	0.7785908	0.0	0.97135085	0.98226774	0.8270502	0.957409	0.8921602	0.88259417	0.8641356	0.90359336	0.8910684	0.75962734	0.7710955	0.99912983	0.88416314	0.9636517	0.7981616	0.96152735
optreden/noun	0.9928288	0.5453824	0.8440119	0.9689659	0.9912846	0.81452686	0.8371668	0.7663501	0.8148768	0.97690105	0.7557541	0.99303144	0.98527336	0.93328625	0.77919847	0.97467834	0.8921661	0.9745131	0.93520004	0.9733352	0.4844874	0.9822066	0.91864187	0.94235873	0.88542324	0.7176713	0.7789651	0.7762101	0.99228173	0.79491407	0.9461338	0.78443396	0.8244662	0.8402408	0.8947483	0.83717114	0.85238296	0.63873434	0.82439387	0.8817006	0.9512079	0.5886455	0.6166774	0.91432965	0.97336096	0.703756	0.53329384	0.93577695	0.9205079	0.9668573	0.9952578	0.96709913	0.8828238	0.9358412	0.9772942	0.8876028	0.89717793	0.9803766	1.0	0.8769617	0.91231066	0.9259697	0.8743744	0.93213385	1.0	0.9596356	0.8533452	0.7727337	0.5260051	0.9885134	0.97674584	0.542068	0.6463666	0.850005	0.8681576	0.9383339	0.97926325	0.9691128	0.99026084	0.7790525	0.84582716	0.87355846	0.77777886	0.8526677	0.89438605	1.0	0.77198124	0.98268723	0.8209562	0.9331919	0.9559835	0.9001075	0.9846936	0.9665059	0.854525	0.7294526	0.9371236	0.95977414	0.80281186	0.8893844	0.8874511	0.96006346	0.97135085	0.0	0.8857496	0.8898653	0.8727068	0.9273335	0.99857193	0.8963855	0.8711753	0.95779204	0.61966395	0.6784049	1.0	0.8095118	0.89716154	0.6201809	0.97759205
vrijheid/noun	0.8261969	0.9176555	0.68158954	0.64188004	0.9341177	0.93008435	0.90657943	0.8873423	0.61398554	0.6803136	0.90023935	0.96986264	0.8798847	0.9419048	0.9325972	0.9161741	0.8114795	0.8238362	0.830963	0.70095056	0.86582124	0.893828	0.65691024	0.72626317	0.8716174	0.92672235	0.9196017	0.81051177	0.9203683	0.4237545	0.5477929	0.90283114	0.75128984	0.83848345	0.70283514	0.7528362	0.6412177	0.6530099	0.7047716	0.72405046	0.9920079	0.79162663	0.7952653	0.87386405	0.68636155	0.8447803	0.9990233	0.91934896	0.43119282	0.93795323	0.9670841	0.8464365	0.45042825	0.81623113	0.69969183	0.71579903	0.8553935	0.9681829	0.96204066	0.95779073	0.77679664	0.87205064	0.63786566	0.96766543	0.93775684	0.9295905	0.55770564	0.62687707	0.7585452	0.898115	0.6853825	0.8920171	0.790915	0.86641276	0.9330585	0.6215802	0.9496792	0.76918066	0.8378126	0.90463805	0.9609812	0.95080715	0.93506247	0.8705768	0.8077512	0.9882572	0.83057487	0.7945651	0.6543183	0.77465785	0.7379811	0.98255	0.7404699	0.88819724	0.775603	0.7670236	0.81374943	0.8482295	0.70072407	0.706845	0.9137677	0.7016909	0.98226774	0.8857496	0.0	0.88401246	0.7888446	0.76195437	0.9492064	0.79222596	0.877139	0.7569094	0.94044805	0.9356354	0.583936	0.7583058	0.8746872	0.76295453	0.7146272
of/vg	0.7477131	0.69059134	0.7941449	0.8701039	0.66096187	0.8242719	0.6625818	0.7537048	0.7480777	0.79773355	0.6723236	0.55912626	0.9158498	0.6964625	0.7808994	0.73438865	0.708475	0.78082865	0.87564564	0.7789086	0.76106334	0.6580372	0.83125293	0.69969213	0.8362122	0.74331164	0.8779821	0.76549953	0.8856542	0.8578353	0.88903797	0.85917026	0.60878754	0.7401594	0.65917426	0.7149307	0.82894504	0.73926175	0.79189146	0.5652628	0.90250826	0.609975	0.7362243	0.69085026	0.7619862	0.7148974	0.80230594	0.6101837	0.7758838	0.7988667	0.6890456	0.92082417	0.8305489	0.8064529	0.8171984	0.77410257	0.68435764	0.95058745	0.87708867	0.67875236	0.85347354	0.8446697	0.8837406	0.9596067	0.8499043	0.6004537	0.71304387	0.7107541	0.5948627	0.8375195	0.87488854	0.6910441	0.68717563	0.81696546	0.71411806	0.7320365	0.7422549	0.7938443	0.84579426	0.68922555	0.70328414	0.80589855	0.59457844	0.6378814	0.8807713	0.79805756	0.52444756	0.8032284	0.8208103	0.79773855	0.68946093	0.5708401	0.86706114	0.9049444	0.5812613	0.75022185	0.9421477	0.60401654	0.58390594	0.67875767	0.9238188	0.8460624	0.8270502	0.8898653	0.88401246	0.0	0.7935977	0.64566123	0.65371287	0.74859923	0.7599157	0.81900495	0.77950585	0.718843	0.99995905	0.78336865	0.64185274	0.6419312	0.84337384
ervaring/noun	0.8909828	0.75900453	0.8225881	0.9918576	0.97257096	0.9083034	0.9269614	0.9941098	0.67047656	0.95376074	0.93848956	0.7134335	0.92718935	0.9012662	0.90537447	0.8807252	0.96424246	0.80417436	0.92909753	0.87269986	0.89434224	0.8830974	0.79296356	0.8184201	0.8038634	0.70279574	1.0	0.9291496	0.90088344	0.9548383	0.91093457	0.896562	0.88886297	0.525946	0.8510629	0.8479741	0.7831766	0.8165816	0.84997743	0.8145965	0.9230333	0.7597161	0.69719285	0.87092453	0.93514955	0.8590414	0.8165104	0.94527984	0.92183954	0.94781846	0.9191212	0.9257958	0.8704601	0.86574996	0.8932525	0.8077638	0.8712003	0.9557186	0.9713559	0.91058826	0.8662774	0.9109915	0.9031926	0.91633993	1.0	0.94047666	0.8088556	0.8165277	0.8033468	0.86139274	0.864881	0.7942815	0.809753	0.87482727	0.96223253	0.7987401	0.89761454	0.5270721	0.88118446	0.8582446	0.7825019	0.9904365	0.95619565	0.88447165	0.7932029	0.9834626	0.7130408	0.9231478	0.70888376	0.77083915	0.6901516	0.99119896	0.8869695	0.92918056	0.91360825	0.91380316	0.8738436	0.8257706	0.73699206	0.9267829	0.8353226	0.9855691	0.957409	0.8727068	0.7888446	0.7935977	0.0	0.83809614	0.9578558	0.8378828	0.8531767	0.9901173	0.88151115	0.9242934	0.9998422	0.8487393	0.96574366	0.7510033	0.7479515
licht/noun	0.7757845	0.7203227	0.8047044	0.9527929	0.8968868	0.87379265	0.71364653	0.7886309	0.7295773	0.8922088	0.8710164	0.7863933	0.85617864	0.9886246	0.7837373	0.7452452	0.68455863	0.7912686	0.97940034	0.7104168	0.70659715	0.9838353	0.7824131	0.4874764	0.8877062	0.5843004	0.95936507	0.6824577	0.879459	0.8155023	0.84467477	0.81797457	0.77302444	0.79422164	0.38367772	0.51320267	0.81909955	0.6635128	0.7583509	0.9356778	0.9793102	0.5914252	0.83630735	0.8490824	0.8690512	0.64350426	0.86614895	0.6046227	0.7811722	0.6525868	0.8833349	0.5769092	0.84183174	0.88541687	0.63007057	0.86709595	0.7146592	0.98271465	0.8795485	0.69804096	0.86422855	0.86288536	0.79123795	0.8592185	0.8014139	0.9857121	0.5202028	0.7172215	0.47847545	0.8860509	0.8510854	0.604601	0.4541365	0.70410067	0.6770369	0.68655145	0.8895513	0.85241127	0.9909019	0.9366525	0.944738	0.6298764	0.9083054	0.3406483	0.8423134	0.9096631	0.70993996	0.92588747	0.73606527	0.6444625	0.8398473	0.95512277	0.73957086	0.86726457	0.3065101	0.6639603	0.92178077	0.6881938	0.38165438	0.685608	0.9522989	0.7944528	0.8921602	0.9273335	0.76195437	0.64566123	0.83809614	0.0	0.80407846	0.9655037	0.8497039	0.96111375	0.7705802	0.71319544	0.99997896	0.534111	0.82057744	0.41819656	0.7244835
modder/noun	0.9086315	0.8905852	0.86656	0.9155392	0.95937806	0.9596494	0.66583765	0.97658324	0.9499265	0.83555675	0.9450271	0.9392204	0.99566793	0.96360236	0.6921245	0.98391783	0.9146858	0.9787455	0.9971339	0.9566556	0.78498137	0.93118626	0.87509084	0.8929242	0.9919404	0.91859764	1.0	0.72997594	0.9976002	0.8440983	0.944028	0.94303524	0.87940687	0.85090744	0.9382912	0.85908425	0.9196363	0.88461906	0.8263809	0.9547102	0.9508394	0.7838309	0.8589851	0.88914555	0.86730635	0.65312636	0.9626845	0.7095833	0.8925961	0.82040703	0.9083827	0.9700309	0.97934145	0.96613884	0.91140586	0.95418245	0.86301476	1.0	0.95653677	0.5242459	0.94444823	0.9668487	0.9071871	1.0	0.9825131	0.98062575	0.87466836	0.9465285	0.7594402	0.9569577	0.9837995	0.86757034	0.7187942	0.98166746	0.86692107	0.8324671	0.9696224	0.8972419	0.91446114	0.59903765	0.98358476	0.8881409	0.9124795	0.7366107	0.87414324	0.7988049	0.8082691	0.96723735	0.93264425	0.83753973	0.9500471	0.806479	0.9748623	0.9987194	0.7428083	0.8439875	0.9420612	0.9172237	0.8398138	0.8337386	0.9684132	0.9902725	0.88259417	0.99857193	0.9492064	0.65371287	0.9578558	0.80407846	0.0	0.8191496	0.94735044	0.7685672	0.856549	0.814459	1.0	0.89658827	0.96559626	0.74565053	0.9921724
geschenk/noun	0.9266981	0.7514232	0.8860726	0.5317303	0.99059486	0.70691407	0.78951776	0.88357306	0.7296814	0.5186125	0.8847399	0.9893788	0.95968777	0.98654175	0.8226365	0.9773095	0.86740386	0.8491872	0.7549031	0.94456434	0.81038404	0.7366488	0.7372464	0.8996665	0.89276177	0.9160671	0.97155297	0.87505543	0.74560654	0.80373263	0.8202509	0.88237226	0.64867723	0.8879187	0.93525857	0.8260277	0.76172	0.83830947	0.82644767	0.751402	0.87496054	0.71117604	0.84241307	0.8711253	0.6751405	0.7656145	0.89447343	0.8899119	0.724227	0.8814867	0.95217246	0.96361274	0.8265262	0.780858	0.927269	0.5523917	0.8504499	0.7442628	0.85167295	0.8679751	0.9310283	0.80552095	0.9039682	0.9896585	0.91240495	0.95160806	0.79294217	0.8205239	0.7497879	0.8534431	0.78535885	0.8467484	0.8732586	0.9130772	0.91796595	0.7403445	0.9416773	0.8251847	0.44040114	0.9492978	0.8729812	0.9178598	0.8964143	0.8361195	0.77471095	0.96367705	0.8754281	0.6617323	0.755213	0.82531744	0.90605456	0.9239344	0.8741622	0.7636029	0.94331825	0.8818087	0.91050285	0.9318788	0.7874172	0.9124285	0.954614	0.9862453	0.8641356	0.8963855	0.79222596	0.74859923	0.8378828	0.9655037	0.8191496	0.0	0.87240046	0.372011	0.72957695	0.8125492	0.94757146	0.91586345	0.9239592	0.81435144	0.9815532
meest/adj	0.5913147	0.7351139	0.8639193	0.88680494	0.7798343	0.86011964	0.84128106	0.7972144	0.73921627	0.8806929	0.8862709	0.8877189	0.8834218	0.98215955	0.8181037	0.86713743	0.78884494	0.74441993	0.6381854	0.9381034	0.7231581	0.9429551	0.75962734	0.75832677	0.83277935	0.76867026	0.97391874	0.75803983	0.9481209	0.96250325	0.76628315	0.72384536	0.6863981	0.71046233	0.8714296	0.70508987	0.9079358	0.8603835	0.93006104	0.77695346	0.8780395	0.8044007	0.65650415	0.64925516	0.86800647	0.7251489	0.796754	0.8742132	0.8504433	0.97524756	0.9608317	0.8042095	0.7617821	0.5828209	0.6644707	0.8429338	0.5292367	0.91098446	0.84850615	0.7773028	0.8365771	0.7421729	0.87898517	0.91874814	0.9253975	0.92492443	0.6747802	0.8027588	0.72354114	0.75966346	0.83942866	0.71034455	0.7775711	0.85048676	0.66200924	0.6214578	0.7951861	0.73184884	0.87619597	0.9792649	0.89291847	0.7670032	0.8589506	0.7283969	0.7532385	0.98936546	0.6423381	0.78664047	0.9293496	0.7805474	0.7214939	0.95148844	0.72774327	0.7239135	0.7613648	0.81274223	0.9903125	0.8345663	0.7402885	0.7970028	0.9285881	0.93982667	0.90359336	0.8711753	0.877139	0.7599157	0.8531767	0.8497039	0.94735044	0.87240046	0.0	0.9424379	0.74514186	0.76488745	0.9997663	0.7823701	0.93963367	0.715498	0.9539104
vorst/noun	0.93441844	0.92546844	0.94856375	0.39075804	0.9794465	0.6822058	0.95079887	0.8961549	0.9184972	0.40932858	0.9888979	0.97668827	0.85707796	0.8875464	0.9369436	0.952547	0.8663907	0.9981289	0.8720961	0.93117917	0.9886262	0.8852177	0.9643656	0.89987105	0.8823925	0.98960716	0.9227299	0.8940293	0.8381541	0.785444	0.78010714	0.94427985	0.73799753	0.9674669	0.95536107	0.89251906	0.6778405	0.93534184	0.9828224	0.86694765	0.77952087	0.95921415	0.94433373	0.880803	0.5123966	0.8978122	0.9926198	0.87497765	0.6209258	0.98747694	0.99455166	0.9998686	0.93995667	0.895389	0.8643782	0.83852905	0.9513414	0.7982554	0.99693304	0.9309092	0.8702817	0.96880513	0.9226653	0.9995704	0.89696944	0.9140229	0.86683184	0.91249317	0.9557568	0.88832295	0.8203097	0.9483973	0.972173	0.8154734	0.9752675	0.85350186	0.96789366	0.9795429	0.3024882	0.8299571	0.9295992	0.9156749	0.9542201	0.97914696	0.8090062	0.95091474	0.8821986	0.60179496	0.91902995	0.87164587	0.95599777	0.93590534	0.77061945	0.87567735	0.9097688	0.76090837	0.8604196	0.95817584	0.937822	0.9066834	0.90977407	0.94996405	0.8910684	0.95779204	0.7569094	0.81900495	0.9901173	0.96111375	0.7685672	0.372011	0.9424379	0.0	0.98037404	0.9498574	0.99995744	0.9394722	0.9063736	0.9485067	0.92528415
sopraan/noun	0.9816838	0.49109024	0.9024094	0.9603108	0.9681366	0.95313853	0.83465075	0.53507316	0.81381345	0.9589828	0.89041287	0.99864674	0.99636203	0.97748876	0.61984175	0.89755833	0.8388692	0.91304606	0.92904997	0.88840926	0.25695032	0.78410375	0.75130594	0.8439593	0.7351168	0.56797785	0.9866383	0.86742014	0.9144761	0.91403365	0.9387399	0.63105965	0.7425773	0.8259654	0.7211421	0.53323656	0.948658	0.544556	0.900499	0.8248696	0.9312271	0.40571314	0.8720055	0.903271	0.98722017	0.3203718	0.55558705	0.7847166	0.9405107	0.8883165	0.974715	0.9235317	0.9253529	0.90845823	0.9480634	0.6388136	0.74579036	1.0	0.9639308	0.6118313	0.87290883	0.8728959	0.95845366	0.99967253	1.0	0.97686255	0.74143934	0.8505027	0.38256454	0.97844505	0.9351795	0.29913276	0.4048779	0.9718402	0.5119244	0.7592732	0.9473638	0.9062964	0.9658166	0.9787898	0.98872614	0.87203056	0.9773585	0.41581714	0.9123329	0.9967789	0.75952715	0.988344	0.69372475	0.8466329	0.8250711	0.95236593	0.99515766	0.960206	0.7541345	0.8290165	0.9741156	0.83725023	0.6451216	0.95080507	0.92598677	0.7474703	0.75962734	0.61966395	0.94044805	0.77950585	0.88151115	0.7705802	0.856549	0.72957695	0.74514186	0.98037404	0.0	0.33854133	1.0	0.6365735	0.90300107	0.4076215	1.0
zangeres/noun	0.9186997	0.35549158	0.8955976	0.9130876	0.9846438	0.95245945	0.7682677	0.56942165	0.8500924	0.876631	0.8888739	0.98022807	0.8039044	0.9895481	0.67640275	0.7823634	0.87160355	0.8355456	0.94700426	0.8913921	0.37959367	0.8641938	0.82126	0.83977604	0.90065247	0.6538373	0.9180493	0.7918817	0.8386943	0.83413374	0.94578403	0.6455692	0.7755668	0.8059628	0.78717464	0.61746895	0.90516335	0.5995069	0.8410177	0.8312139	0.94379073	0.29139608	0.8223082	0.86580944	0.9677994	0.4517297	0.6912176	0.8456455	0.8988868	0.91140217	0.99992275	0.9536247	0.90178055	0.92427367	0.92658496	0.7265119	0.74951756	1.0	0.9357695	0.6277455	0.9095248	0.8953815	0.92132777	0.9995662	0.93309116	0.9847625	0.7425504	0.83549887	0.42648035	0.96095747	0.945709	0.28401524	0.45935583	0.90463746	0.36106962	0.7639205	0.96538216	0.883372	0.9454429	0.931837	0.9871139	0.91759837	0.95963067	0.49212635	0.867319	0.9649147	0.74803275	0.96358156	0.7420466	0.9124187	0.8771188	0.9625801	0.9131818	0.9712706	0.66354305	0.74689007	0.97221553	0.8787151	0.7159759	0.8739792	0.9036277	0.80789477	0.7710955	0.6784049	0.9356354	0.718843	0.9242934	0.71319544	0.814459	0.8125492	0.76488745	0.9498574	0.33854133	0.0	1.0	0.72794247	0.9290405	0.5671548	0.94261634
lof_trompet/noun	0.9996251	0.99996156	0.9614184	0.8907088	1.0	1.0	1.0	0.99983597	0.69611084	0.7871142	1.0	1.0	1.0	1.0	1.0	0.9919006	0.9989611	1.0	0.98284084	0.9509378	0.99062914	1.0	0.9061212	0.99977386	1.0	1.0	1.0	1.0	1.0	0.69161975	0.8550228	1.0	0.9682185	0.9998747	0.7336881	0.9761956	0.9417904	0.89541674	1.0	0.76859677	0.99987185	0.9999578	0.8468299	0.99915206	0.85838526	0.97213846	0.9997634	0.9904104	0.6602092	1.0	1.0	0.99978197	0.8093387	1.0	0.88711995	0.8909208	0.99929553	1.0	0.99952525	0.9999189	0.999834	1.0	0.97135913	0.9997017	0.9996042	1.0	0.9106925	0.85482234	0.9903594	1.0	0.95196605	1.0	0.999845	0.9997076	1.0	0.9050543	0.9979381	0.8993197	1.0	1.0	1.0	0.9996232	1.0	0.99993825	1.0	0.9998397	0.99833286	1.0	0.999823	0.9998194	1.0	1.0	0.9995675	1.0	1.0	0.9998821	1.0	0.9942525	0.9355757	1.0	1.0	0.7946538	0.99912983	1.0	0.583936	0.99995905	0.9998422	0.99997896	1.0	0.94757146	0.9997663	0.99995744	1.0	1.0	0.0	0.93202746	1.0	0.9825548	0.82210815
helderheid/noun	0.8980587	0.78788304	0.86399966	0.8670509	0.9321086	0.97585166	0.88565856	0.5706241	0.5103109	0.8370182	0.8737053	0.94247997	0.749195	0.92921066	0.8403748	0.80250466	0.8439118	0.69769526	0.8085559	0.78172994	0.5850192	0.8793256	0.8624543	0.7144693	0.76094335	0.60898054	0.93269086	0.64014053	0.95321715	0.6269331	0.88199353	0.8413967	0.73448396	0.75133586	0.5475173	0.47781116	0.7192038	0.2942524	0.4654438	0.8408065	0.9240807	0.49012142	0.842206	0.8501507	0.84926295	0.58042556	0.7676257	0.5771061	0.6030636	0.93261445	0.85211664	0.7442577	0.64340067	0.82541937	0.78621894	0.7270508	0.74935704	0.9530698	0.91852665	0.7637397	0.8699781	0.8120611	0.5420835	0.5945953	0.9942164	0.964607	0.3539412	0.68692875	0.46659136	0.82170457	0.9093287	0.6063434	0.43458384	0.8632025	0.6613954	0.61345816	0.8892281	0.796585	0.93958676	0.96562815	0.8560542	0.7345439	0.9054098	0.44501203	0.89423203	0.99915135	0.66822827	0.96148825	0.32278728	0.7942189	0.8103552	0.9415814	0.87456113	0.9897514	0.44802827	0.8142892	0.8603811	0.68653345	0.4454978	0.8508856	0.90934604	0.784589	0.88416314	0.8095118	0.7583058	0.78336865	0.8487393	0.534111	0.89658827	0.91586345	0.7823701	0.9394722	0.6365735	0.72794247	0.93202746	0.0	0.7225718	0.37187618	0.8860742
sauna/noun	0.62001747	0.91376936	0.74594843	0.9437039	0.9248714	0.9118552	0.87226766	0.9881533	0.78498685	0.94584984	0.8675337	0.7948138	0.9780623	0.9507035	0.8991004	0.8886893	0.6835474	0.8153569	0.8290748	0.9392222	0.8471035	0.885908	0.8955345	0.79152495	0.92457026	0.90038115	0.99963236	0.888033	0.9377307	0.7519109	0.95618	0.9860328	0.75779533	0.88452095	0.65375316	0.874057	0.92192274	0.7056252	0.5260582	0.887933	0.9689631	0.9169644	0.92742556	0.8561757	0.97146267	0.77283764	0.9659188	0.75121677	0.7613094	0.9386029	0.96501166	0.891896	0.7832202	0.83230877	0.79038775	0.93475	0.65214777	0.9720461	0.8543439	0.92121196	0.9428675	0.8975347	0.50460017	0.69361657	0.88896054	0.97007513	0.71571153	0.80160505	0.7893842	0.95907396	0.8739063	0.93362343	0.8664298	0.87877154	0.95900327	0.75245166	0.8423705	0.81165475	0.9849949	0.9319906	0.8864054	0.92638505	0.6808116	0.9017809	0.97517097	0.8862109	0.90017104	0.92609596	0.7302686	0.89663815	0.89444524	0.8295097	0.784202	0.9841169	0.83228683	0.79871166	0.9852391	0.9540418	0.68058723	0.67241627	0.92681545	0.8919753	0.9636517	0.89716154	0.8746872	0.64185274	0.96574366	0.82057744	0.96559626	0.9239592	0.93963367	0.9063736	0.90300107	0.9290405	1.0	0.7225718	0.0	0.871105	0.94602764
klank/noun	0.8269749	0.5372892	0.6857748	0.9442711	0.9343707	0.7864312	0.70393	0.5577266	0.6371974	0.8817922	0.847897	0.846653	0.87441427	0.982337	0.73147666	0.7232138	0.71857905	0.8096286	0.94438106	0.6377988	0.43709832	0.85203636	0.65533584	0.5761909	0.85335183	0.38870817	0.996738	0.66084856	0.93863314	0.8222065	0.744981	0.87776333	0.749972	0.7534039	0.49573648	0.39386773	0.8302388	0.43559134	0.6806329	0.8646661	0.9820027	0.34289807	0.6443324	0.834815	0.8476114	0.43590403	0.57766837	0.67466235	0.759151	0.8747245	0.9023114	0.77145565	0.80084085	0.8103542	0.70721114	0.6968802	0.7060387	1.0	0.92172396	0.56755	0.8922771	0.8128357	0.7654159	0.87599194	0.8446575	0.95727015	0.47131407	0.64561754	0.24291503	0.92287695	0.9316036	0.3829844	0.2576726	0.8577794	0.6067127	0.5760275	0.89981836	0.82959783	0.970009	0.8433007	0.90830886	0.7113353	0.8619146	0.20235127	0.8741948	0.98620504	0.60147667	0.93637025	0.4986534	0.6061802	0.68491817	0.9235933	0.8630756	0.878512	0.4481613	0.7355486	0.9407145	0.71849716	0.32784307	0.7360185	0.96836424	0.7113048	0.7981616	0.6201809	0.76295453	0.6419312	0.7510033	0.41819656	0.74565053	0.81435144	0.715498	0.9485067	0.4076215	0.5671548	0.9825548	0.37187618	0.871105	0.0	0.9141379
heerlijkheid/noun	0.9260452	0.92499924	0.97768795	0.89748263	0.9820341	0.8735815	0.95089984	0.98621	0.8786684	0.90919715	0.988611	0.9553382	0.8841341	0.98107946	0.9168566	0.93545026	0.82495195	0.9514754	0.9426736	0.9816127	0.99788785	0.9852817	0.88768536	0.6696754	0.97719824	0.98019636	0.9339001	0.9494166	0.9960581	0.91786426	0.9712384	0.7902047	0.8823857	0.88275933	0.68412745	0.81989175	0.6149908	0.9325351	0.9592926	0.8885024	0.97691727	0.9706764	0.8840742	0.9845458	0.95077795	0.9213084	0.95922834	0.9252418	0.8454958	0.97604144	0.982623	0.90106785	0.95890814	0.9481252	0.85752344	0.9679159	0.9061346	0.98275054	0.9789997	0.9348974	0.9946624	0.95914066	0.935371	0.9544678	0.98652774	0.9785691	0.8361243	0.8781726	0.923033	0.9844411	0.9051845	0.97774595	0.88842714	0.7154404	0.9704941	0.93932444	0.99034345	0.95073193	0.9535489	0.977025	0.9775222	0.8409814	0.9848523	0.89099497	0.481099	0.88002074	0.87343264	0.75211513	0.9957343	0.7922405	0.9387924	0.9596845	0.7464192	0.9292753	0.84818304	0.89660466	0.9923725	0.948006	0.67076224	0.8973659	0.997637	0.93419075	0.96152735	0.97759205	0.7146272	0.84337384	0.7479515	0.7244835	0.9921724	0.9815532	0.9539104	0.92528415	1.0	0.94261634	0.82210815	0.8860742	0.94602764	0.9141379	0.0
