	sinds/prep	men/pron	taksen/noun	Canada/name	toelage/noun	LPF_minister/noun	successie_recht/noun	frank/noun	vertwijfeld/adj	Camiel/name	hoopvol/adj	nu/adv	accijns/noun	zoals/comp	overheid/noun	tarief/noun	hand/noun	maandag_avond/noun	KLM/name	administratie/noun	Informatie/name	been/noun	Lanaken/name	aanvankelijk/adj	vorder_terug/verb	invoer_recht/noun	arm/noun	ter/prep	vinger_DIM/noun	Griek/noun	hierover/pp	glas_DIM/noun	te/prep	gemeente/noun	handpalm/noun	laag/adj	omdat/comp	staat/noun	vanaf/prep	triomfantelijk/adj	alsof/comp	inkomst_belasting/noun	beeld_DIM/noun	als/comp	bovendien/adv	toegang/noun	per/prep	en/vg	zij/pron	instantie/noun	loon_belasting/noun	voortaan/adv	netjes/adj	lidstaat/noun	die/det	statie_geld/noun	belasting/noun	tol/noun	lach/adj	vinger/noun	provincie/noun	premie/noun	mag/verb	college_geld/noun	dankbaar/adj	procent/noun	verzekeraar/noun	wanneer/comp	heffing/noun	opcentiemen/noun	om/comp	onroerend_zaak_belasting/noun	feestganger/noun	langzaam/adj	dan/adv	Francis/name	Henk/name	rente/noun	eventueel/adj	echter/adv	ministerie/noun	entree/noun	heer/noun	ze/pron	belasting_dienst/noun	in/verb	even/adj	Litmanen/name	arm/adj	toegang_prijs/noun	tegelijk/adj	op/prep	over/prep	alvast/adv	bovenop/prep	verontschuldig/adj	zondag_middag/noun	energie/prefix	inmiddels/adv	fiscus/noun	hak/noun	nergens/adv	immers/adv	boete/noun	anno/prep	taks/noun	daarna/adv	boven/prep	toch/adv	stad/noun	keer/noun	het/det	meer/adj	milieu_belasting/noun	louter/adj	terwijl/comp	of/vg	toeslag/noun	teatraal/adj	dwingend/adj	percentage/noun	glas/noun	land/noun	regering/noun	zonder/comp	sanctie/noun	hoofd/noun	hij/pron	hoog/adj	voorheffing/noun	ook/adv	opslag/noun	hulpeloos/adj
gemeente/noun	0.88534236	0.75880295	0.56036735	0.9098618	0.4901557	0.9470663	0.6184578	0.5053904	0.92701733	0.9848392	0.9404534	0.88277644	0.57593495	0.7227813	0.40062892	0.5154724	0.9592189	0.77088976	0.77562493	0.6277814	0.85484576	0.9473248	0.6708012	0.83879477	0.61565256	0.7153192	0.94905806	0.8504889	0.9359019	0.97965294	0.83646476	0.9534875	0.8842388	0.0	0.9603079	0.64216983	0.6576742	0.703616	0.5743178	0.9492081	0.9430829	0.54446834	0.97629046	0.8005841	0.5236072	0.80511177	0.5373244	0.6676625	0.76865727	0.5854496	0.4917153	0.38704675	0.7065799	0.6945399	0.5017818	0.74805236	0.3468489	0.6703508	0.9215594	0.94698787	0.26599973	0.5535432	0.72908914	0.7225744	0.9223291	0.5227015	0.7003039	0.8352344	0.41761386	0.45000184	0.59991527	0.6020509	0.9485182	0.92583746	0.8464136	0.8386232	0.9962301	0.7047268	0.5698216	0.8216455	0.6785314	0.87596995	0.96193075	0.92917705	0.6591368	0.4647767	0.97686833	0.9711339	0.8335169	0.9087327	0.78076696	0.5896164	0.8510282	0.8264256	0.5524281	0.9596844	0.97489786	0.7988049	0.8728825	0.64910984	0.93992645	0.86025715	0.62217	0.6168896	0.9221378	0.57808316	0.9126383	0.8301443	0.92858636	0.26074523	0.9293744	0.881042	0.6243098	0.50492144	0.9026665	0.7990953	0.70599365	0.666018	0.95481044	0.8978331	0.57075477	0.91057426	0.7891321	0.5844716	0.7881685	0.80954725	0.943469	0.9581634	0.61068404	0.4941818	0.8113026	0.8204745	0.93392766
handpalm/noun	0.9960807	0.89505833	0.9715801	0.9739814	0.9884009	0.91288674	0.9573568	0.9418589	0.6818886	0.78726214	0.92772084	0.8043964	0.9616204	0.9600872	0.8372513	0.987182	0.46185797	0.94324005	0.96839464	0.9770408	0.9541063	0.40180904	0.9694342	0.9837955	0.9806029	0.92163503	0.55746794	0.9927898	0.5496987	0.9839166	0.97433597	0.7797999	0.7524632	0.9603079	0.0	0.9805434	0.8793938	0.92831844	0.9892776	0.6167257	0.59266436	0.9795161	0.85602915	0.7561442	0.98452467	0.92565787	0.9140028	0.8130092	0.8784186	0.9275315	0.968459	0.93767625	0.75237846	0.8265861	0.9281101	0.8655907	0.96111035	0.99127	0.5797688	0.5462183	0.95191073	0.9767497	0.895283	0.93067396	0.89197195	0.96751237	0.96769077	0.7604456	0.9833281	0.9780382	0.7401519	0.99542224	0.8108452	0.7117042	0.8951495	0.9729088	0.978209	0.96977115	0.9239724	0.9351504	0.9936078	0.9317912	0.682886	0.76133835	0.98477966	0.9304492	0.7164751	0.95941997	0.72394127	0.9710912	0.87329024	0.84970105	0.92943686	0.7819175	0.96774846	0.7171821	0.9304981	0.976021	0.857878	0.9678166	0.88886476	0.7709279	0.9908918	0.95311236	0.97744197	0.9488402	0.83414805	0.8621143	0.8302187	0.9482216	0.94936734	0.74221927	0.9545423	0.96557677	0.92834	0.73789287	0.6947731	0.9469151	0.7775972	0.8391053	0.900943	0.70055395	0.8528135	0.8916479	0.6601114	0.9441055	0.6712475	0.7908416	0.9882132	0.98728675	0.9471309	0.9482179	0.65912366
laag/adj	0.6977205	0.84583056	0.525235	0.79712796	0.7617142	0.97434825	0.47936422	0.4800595	0.9818176	0.98615736	0.96689916	0.80919063	0.42519414	0.6841421	0.4095239	0.26925695	0.9649183	0.93164504	0.6908338	0.6616376	0.9950714	0.9592538	0.88546103	0.7664922	0.59692097	0.46721613	0.94504374	0.78077066	0.9753969	0.9446426	0.53279215	0.89910585	0.81315744	0.64216983	0.9805434	0.0	0.5512644	0.65166044	0.5002365	0.9750625	0.9121765	0.32348895	0.9094935	0.7235982	0.3519945	0.7321647	0.42344975	0.60859466	0.6483633	0.8338316	0.55073094	0.41656035	0.7497324	0.6769382	0.647128	0.76619244	0.27644706	0.6870976	0.97994053	0.96319807	0.7323019	0.4315483	0.7041803	0.677475	0.97286063	0.22136939	0.53341275	0.644912	0.28337395	0.44831115	0.5259241	0.5078496	0.86761785	0.76985157	0.7660683	0.9969	0.97980416	0.2800573	0.47625798	0.7544801	0.86682165	0.8891693	0.95189774	0.950218	0.55940044	0.3382489	0.9824466	0.9711516	0.82204604	0.75527453	0.80479205	0.48795778	0.574996	0.8400028	0.3514884	0.988575	0.9549543	0.64588296	0.7632407	0.4692067	0.8465886	0.7587544	0.4006948	0.5969106	0.9016141	0.59822154	0.9738764	0.4969098	0.94358826	0.7605231	0.75382745	0.70849264	0.7399435	0.46213883	0.8572927	0.5680084	0.60913277	0.58779204	0.9735424	0.8604808	0.37620926	0.8915418	0.7036181	0.5962662	0.51798105	0.8785774	0.92370635	0.9512594	0.15719539	0.37391728	0.8179625	0.607034	0.94810647
omdat/comp	0.8234879	0.7286457	0.61481345	0.81724393	0.7789156	0.912021	0.63866454	0.58770907	0.7871412	0.9078619	0.88996065	0.69727486	0.4798981	0.5774977	0.49667418	0.6243133	0.87845737	0.9737661	0.77312225	0.57948744	0.90391505	0.90517855	0.87353647	0.5980492	0.4879856	0.55067974	0.8907732	0.7550212	0.84779596	0.9008711	0.6412948	0.92270714	0.74102104	0.6576742	0.8793938	0.5512644	0.0	0.70080376	0.6393506	0.89006275	0.6306627	0.59034777	0.95319617	0.35637546	0.3061958	0.7901292	0.6344039	0.6547817	0.65399766	0.553485	0.5831908	0.38393754	0.6637954	0.60851383	0.5078616	0.6882938	0.45682853	0.6077715	0.73469865	0.8753233	0.7826796	0.57150996	0.48608476	0.6506896	0.7105106	0.62690604	0.57578397	0.46852422	0.44191176	0.7739451	0.5332527	0.7867225	0.9343221	0.9005623	0.57020503	0.84094685	0.97423583	0.5843322	0.4597932	0.5143214	0.73384714	0.8538752	0.89860326	0.83740366	0.589432	0.43763775	0.8788756	0.93983054	0.8119194	0.9153049	0.6656048	0.6196762	0.7076126	0.7456875	0.52053356	0.84074384	0.9458537	0.8644439	0.70439166	0.5692011	0.8596636	0.70998096	0.3701216	0.4934131	0.959252	0.59534097	0.8276502	0.79219073	0.7693428	0.7139458	0.8027469	0.8459984	0.68354964	0.7175468	0.8094836	0.61853886	0.5943501	0.67480314	0.8887578	0.74599314	0.6603209	0.8718601	0.6897092	0.531066	0.57677627	0.653687	0.9037864	0.89348024	0.5591054	0.64986956	0.66526985	0.78334635	0.845404
staat/noun	0.9179251	0.86785513	0.6246289	0.78463554	0.6580536	0.9625506	0.50708413	0.72675097	0.9507492	0.95009255	0.9800946	0.8254025	0.56487393	0.71748614	0.50392145	0.5792949	0.88222915	0.9473098	0.9658181	0.5507361	0.97348005	0.8963981	0.9009449	0.9265083	0.50165474	0.68353236	0.9060499	0.9323957	0.90531147	0.9794308	0.46830362	0.94214046	0.762596	0.703616	0.92831844	0.65166044	0.70080376	0.0	0.75003463	0.91363794	0.85065913	0.50326276	0.9523726	0.736083	0.645349	0.92871463	0.78457564	0.7215944	0.6911069	0.65582496	0.6792917	0.6498141	0.6528374	0.747538	0.6353415	0.85995334	0.49138772	0.7627251	0.8457066	0.9123348	0.7464287	0.49084365	0.8043802	0.660836	0.97186744	0.69783664	0.65435195	0.63345	0.55285907	0.69073915	0.68416655	0.6684559	0.9866759	0.97907996	0.67940426	0.81764716	0.9940653	0.6406956	0.60571206	0.8942329	0.68514985	0.93027854	0.91105556	0.8861886	0.4173448	0.53994846	0.9366912	0.98395807	0.8048595	0.9446701	0.83409786	0.78686655	0.5943531	0.7059832	0.7064019	0.91658145	0.9954168	0.9026377	0.9508501	0.411061	0.907918	0.82017326	0.5716428	0.62102103	0.96556693	0.7712644	0.85684234	0.82566893	0.90648115	0.6907928	0.8737431	0.9035519	0.81839997	0.69811493	0.766636	0.82207435	0.7243931	0.74658024	0.90248275	0.87744284	0.6830437	0.9255313	0.6673089	0.65778196	0.6169472	0.76195294	0.9322498	0.9449426	0.7097471	0.5947752	0.8596158	0.88966256	0.8674884
vanaf/prep	0.6513394	0.77481854	0.7080809	0.86246186	0.8198597	1.0	0.6151266	0.44644272	0.93545574	0.9880138	0.8515936	0.82905746	0.58120495	0.6618118	0.64432436	0.41048467	0.95026433	0.75029963	0.6167103	0.68704855	0.8815231	0.9634831	0.8464879	0.7924174	0.65196943	0.56467235	0.9521778	0.677287	0.94567955	0.92078805	0.5770117	0.77347404	0.90558743	0.5743178	0.9892776	0.5002365	0.6393506	0.75003463	0.0	0.808781	0.7805493	0.4918384	0.839856	0.72501457	0.4756797	0.58851075	0.45604563	0.66793895	0.69556487	0.8132569	0.60374427	0.3825503	0.66665256	0.72503674	0.60845745	0.78746676	0.4406376	0.68360084	0.87737995	0.96419597	0.8006223	0.5244322	0.69051623	0.8442194	0.94313383	0.50396687	0.68491936	0.72826385	0.39648873	0.58375156	0.7077671	0.5360732	0.93195575	0.86355084	0.67208904	0.9739052	0.9176934	0.6429628	0.5376731	0.8051611	0.8835661	0.65735984	0.96791065	0.9248411	0.56037915	0.47014648	0.8673417	0.87207925	0.89483273	0.6914623	0.8309001	0.51803505	0.6496386	0.6598056	0.4034378	0.93048406	0.7839378	0.8773081	0.8467896	0.5523647	0.94685286	0.8328066	0.53800976	0.53934586	0.85135174	0.6836117	0.9359235	0.685701	0.82806957	0.78796464	0.78285223	0.9363177	0.6654799	0.52945966	0.85798025	0.7576562	0.62370765	0.5151948	0.8993877	0.93642366	0.60383147	0.7906962	0.7825459	0.6810953	0.6520864	0.8697709	0.9315054	0.9242446	0.5579062	0.5741631	0.7698737	0.7842003	0.9546932
triomfantelijk/adj	0.6957929	0.8417273	0.9527131	0.9720627	0.93132925	0.9498121	0.95259947	0.90978885	0.63462543	0.93084514	0.68550086	0.90212196	0.9815009	0.89654773	0.9372663	0.9706316	0.47680146	0.7120422	0.96309054	0.93680596	0.7999385	0.58846307	0.9672865	0.8562763	0.9563848	0.959217	0.46103483	0.95163375	0.84923005	0.72910815	0.95220053	0.7553996	0.71498084	0.9492081	0.6167257	0.9750625	0.89006275	0.91363794	0.808781	0.0	0.5040986	0.9571316	0.8215384	0.81379503	0.96078444	0.8537517	0.8873439	0.8559116	0.82562613	0.7643131	0.96354586	0.97121173	0.86265033	0.9184323	0.8327117	0.9024236	0.9733883	0.9239254	0.4220339	0.6545326	0.92233837	0.9344033	0.9229696	0.94701314	0.7496183	0.9333474	0.9583918	0.7903435	0.941109	0.9855956	0.8785127	0.99586207	0.78395367	0.76140016	0.8297393	0.9366259	0.5849805	0.9495706	0.9621784	0.867756	0.9719323	0.5674528	0.78629214	0.56301796	0.97804093	0.9601258	0.5688313	0.7652793	0.58848214	0.9469168	0.69622946	0.85827863	0.8953174	0.74958366	0.8433268	0.4749691	0.623487	0.9706171	0.96711516	0.97130346	0.93536556	0.8798564	0.97565293	0.9401489	0.8092265	0.9478385	0.78909	0.6823102	0.7864994	0.8805973	0.96077776	0.8512998	0.9805201	0.9642024	0.8466074	0.59616715	0.85430443	0.84418434	0.59492576	0.79028153	0.8716968	0.523741	0.8057348	0.9713417	0.92686313	0.967514	0.5058446	0.43792218	0.94022876	0.9735665	0.9397689	0.9109342	0.50494593
alsof/comp	0.9818792	0.7754557	0.9638691	0.99773026	0.9806566	0.8685099	0.90970236	0.92994994	0.5093229	0.8897269	0.74503374	0.66109514	0.9198548	0.7640041	0.88733596	0.89264953	0.469382	0.8361412	0.98766935	0.8662676	0.96982414	0.51331705	0.9626569	0.69412154	0.80677766	0.9118986	0.43976104	0.9578747	0.7239188	0.6986726	0.8141351	0.79351926	0.6396559	0.9430829	0.59266436	0.9121765	0.6306627	0.85065913	0.7805493	0.5040986	0.0	0.8633664	0.8421998	0.4475385	0.7394537	0.9350391	0.897565	0.6903138	0.7763117	0.6978837	0.9679675	0.8226717	0.66253746	0.8908711	0.8560514	0.9459182	0.8732993	0.88330084	0.48002803	0.676596	0.96289635	0.8685636	0.7337409	0.97515756	0.71425706	0.945085	0.90744007	0.42149752	0.8613581	0.9409534	0.79261315	0.90647906	0.8810958	0.6594833	0.5678637	0.95218974	0.7477865	0.9179373	0.89509356	0.76146954	0.9341762	0.685204	0.6816686	0.57519805	0.8497024	0.864434	0.55731326	0.77816343	0.5912433	0.966769	0.69778204	0.8008805	0.7040173	0.67941034	0.8404236	0.44455528	0.79967105	0.9880495	0.82165164	0.8530135	0.77958024	0.8549392	0.7558834	0.8746934	0.7579206	0.9671142	0.5745151	0.6910733	0.689106	0.92239076	0.8919206	0.8173804	0.80430627	0.85337716	0.72052073	0.4268074	0.6768665	0.88329196	0.66715086	0.6996931	0.8769084	0.6770781	0.89014053	0.87423223	0.6854701	0.9662266	0.6073939	0.5222088	0.8852075	0.87908363	0.7854151	0.9090894	0.4878078
inkomst_belasting/noun	0.779088	0.8196514	0.49639153	0.74275106	0.7584907	0.9593182	0.23486471	0.65886414	0.90920305	0.96545297	0.94269997	0.842383	0.4590004	0.74653876	0.4727711	0.2190842	0.9576234	0.9495281	0.75548047	0.52024305	0.88958246	0.9497632	0.8827225	0.921268	0.5754914	0.44146	0.9572838	0.8611913	0.90259314	0.9767329	0.39505398	0.9487277	0.8121373	0.54446834	0.9795161	0.32348895	0.59034777	0.50326276	0.4918384	0.9571316	0.8633664	0.0	0.97430485	0.7627374	0.4794109	0.78254646	0.6209264	0.61816084	0.61098015	0.6424145	0.36481887	0.38666904	0.69573927	0.6886821	0.62934893	0.7844158	0.19433862	0.67488873	0.97671735	0.95114166	0.7231416	0.29653364	0.6527177	0.75525415	0.9698865	0.26507586	0.4651478	0.65932643	0.23942572	0.4296462	0.58853567	0.33631468	0.93754065	0.9242941	0.6890576	0.89883786	0.9965575	0.30416656	0.49200898	0.70425034	0.7586546	0.87837815	0.8936547	0.911841	0.36843282	0.349885	0.94941235	0.9680754	0.9063015	0.8276918	0.7881707	0.56466013	0.5209131	0.6980742	0.56146324	0.9705001	0.96208495	0.82164705	0.74100757	0.22270465	0.85246855	0.7561781	0.40132397	0.4842639	0.8914467	0.60249627	0.9312071	0.6753806	0.90047467	0.81350964	0.8408768	0.85548675	0.75741684	0.46313292	0.7880976	0.65534294	0.6485168	0.49674416	0.9619616	0.8459099	0.33255255	0.95606977	0.70815074	0.67018956	0.5768527	0.83382773	0.9215202	0.95097244	0.44781882	0.2838753	0.77708185	0.6991183	0.93617463
beeld_DIM/noun	0.9022788	0.898068	0.9553965	0.84931946	0.93684196	0.9528453	0.97182375	0.7966628	0.84675395	0.9524312	0.8893851	0.871181	0.95575196	0.8805348	0.9618036	0.9280757	0.67899865	0.85654306	0.97696066	0.97373354	0.982406	0.81743383	0.9821052	0.97953135	0.9605423	0.94466704	0.7732729	0.9187729	0.9051463	0.833212	0.97092587	0.39382	0.85559785	0.97629046	0.85602915	0.9094935	0.95319617	0.9523726	0.839856	0.8215384	0.8421998	0.97430485	0.0	0.914474	0.96590126	0.8869175	0.7345325	0.7920772	0.92900723	0.95348	0.9756175	0.9354633	0.88644177	0.9482499	0.91146153	0.9195305	0.96659863	0.95926416	0.65364707	0.869189	0.9701389	0.94522846	0.7522436	0.91898024	0.5694803	0.95896786	0.9569454	0.9072685	0.9677398	0.9776108	0.9391433	0.966116	0.7765806	0.87051016	0.85146415	0.9588854	0.9095895	0.95889467	0.9488363	0.956734	0.97549295	0.89105415	0.8476513	0.84014195	0.9928463	0.98900545	0.7463322	0.94442636	0.9117425	0.50803494	0.86551195	0.9068526	0.94701797	0.87412703	0.8981126	0.89691764	0.5559802	0.93860835	0.9836933	0.9870139	0.8743054	0.91178495	0.94505084	0.91487277	0.62011194	0.93675894	0.78483	0.7821634	0.91784513	0.9657755	0.8183205	0.7882162	0.9113216	0.95676714	0.89454794	0.8145087	0.6350017	0.9412545	0.8855591	0.90074104	0.919083	0.6756817	0.9327887	0.99833363	0.93430316	0.97460705	0.74655104	0.8581306	0.8895475	0.97181314	0.9177159	0.96091473	0.91351277
als/comp	0.9020049	0.69131124	0.7770957	0.95529056	0.84026873	0.82044786	0.7919679	0.7703639	0.7905804	0.9413166	0.84901226	0.48105443	0.73243743	0.61110854	0.66027355	0.78118014	0.7664737	0.95718265	0.8833095	0.7795265	0.92514336	0.82792073	0.9486649	0.6985303	0.6133468	0.80350596	0.7935846	0.87726104	0.69713336	0.8734504	0.73750496	0.83470774	0.8757039	0.8005841	0.7561442	0.7235982	0.35637546	0.736083	0.72501457	0.81379503	0.4475385	0.7627374	0.914474	0.0	0.45862615	0.95299006	0.7624027	0.78360903	0.6744304	0.64910924	0.74507457	0.5981819	0.54662657	0.66597414	0.6063955	0.9060036	0.6371474	0.7418363	0.72646505	0.83570445	0.90356773	0.7720952	0.5064422	0.7793189	0.67968416	0.8078944	0.7152921	0.32530272	0.64906645	0.8577139	0.49981755	0.9473037	0.9523144	0.7974492	0.37807155	0.8914902	0.9072254	0.76689076	0.57235235	0.60717475	0.86619174	0.90195954	0.7455806	0.68724555	0.67586374	0.6254792	0.60531163	0.9051221	0.8308388	0.94833165	0.70551133	0.7668112	0.72040856	0.7282225	0.68475163	0.7899296	0.919964	0.907155	0.6804242	0.70412695	0.9134397	0.7560017	0.5496063	0.71778464	0.92651415	0.86700463	0.64249146	0.81245506	0.5112026	0.83865094	0.7926681	0.8138961	0.7490506	0.8330476	0.81646574	0.59462756	0.68825626	0.8187047	0.9295994	0.81336725	0.7940918	0.8284677	0.79806685	0.6459438	0.62891805	0.7174933	0.8602249	0.7544307	0.7211702	0.7598462	0.5816169	0.9039813	0.72629845
bovendien/adv	0.78540874	0.7303649	0.54334116	0.90912503	0.69373304	0.9567877	0.5893396	0.4716112	0.8786318	0.9693401	0.937512	0.69229335	0.47772598	0.68132746	0.40887278	0.4611222	0.9396394	0.95337844	0.7074498	0.5180632	0.94056547	0.9493592	0.86297554	0.60236335	0.40861553	0.5971496	0.9485071	0.81612957	0.9071773	0.87539726	0.5684454	0.92810285	0.8267586	0.5236072	0.98452467	0.3519945	0.3061958	0.645349	0.4756797	0.96078444	0.7394537	0.4794109	0.96590126	0.45862615	0.0	0.8559972	0.41831893	0.5784285	0.60726106	0.6652563	0.49373645	0.24863869	0.6873094	0.6415322	0.48464698	0.771969	0.3123843	0.6378028	0.9017786	0.9378904	0.60726273	0.41462237	0.5286517	0.65128124	0.8635374	0.41551346	0.54969156	0.48324788	0.34271532	0.5358666	0.5251827	0.6046022	0.93909836	0.7934834	0.6310428	0.94353306	0.994299	0.47702533	0.39202207	0.53708065	0.75249696	0.84856045	0.9389324	0.907505	0.4662583	0.32717407	0.8741539	0.979694	0.82695335	0.880945	0.74699825	0.5622859	0.6097396	0.6923344	0.40500718	0.9075314	0.97725725	0.6941823	0.70253193	0.5273187	0.89859897	0.7561	0.31368548	0.5410768	0.9091304	0.6045902	0.8612467	0.6820361	0.8268757	0.6068771	0.82411957	0.833041	0.70870733	0.4571774	0.903715	0.6275871	0.61602366	0.5149211	0.96835077	0.83852404	0.55608183	0.91037494	0.7711585	0.56559515	0.5933989	0.71304286	0.9411639	0.9501771	0.42058498	0.4116301	0.70355606	0.7326145	0.89407706
toegang/noun	0.8935371	0.9088175	0.6906934	0.7281722	0.75764525	0.9587492	0.85765195	0.5977427	0.9118243	0.99194485	0.8543263	0.89775515	0.70786214	0.799945	0.76691	0.76452327	0.95970327	0.84579545	0.88975656	0.8963472	0.8738717	0.85053766	0.85602576	0.76713204	0.8062813	0.6813415	0.88323545	0.5547129	0.9813684	0.9919541	0.80341434	0.8169843	0.7703475	0.80511177	0.92565787	0.7321647	0.7901292	0.92871463	0.58851075	0.8537517	0.9350391	0.78254646	0.8869175	0.95299006	0.8559972	0.0	0.60815406	0.8202354	0.8368814	0.9266089	0.8916913	0.6946239	0.8945092	0.68289495	0.89753956	0.8387793	0.7190798	0.92515415	0.935026	0.96534574	0.868497	0.8267044	0.71749425	0.7732327	0.9624431	0.84265697	0.8655126	0.95702827	0.7316958	0.9000179	0.75784254	0.9107643	0.9181715	0.86272234	0.94452846	0.9620854	0.9240348	0.8139613	0.8223272	0.92927265	0.9276985	0.7873258	0.93488	0.930607	0.9151522	0.7728845	0.9842961	0.9399282	0.72514796	0.5221314	0.94288975	0.89662147	0.8960825	0.937649	0.7210305	0.94472957	0.89662576	0.9915293	0.82588565	0.77528435	0.9611549	0.9453297	0.7929989	0.57786345	0.8992249	0.82213366	0.98502105	0.8178294	0.9575937	0.87688303	0.9007874	0.8463954	0.7087348	0.8610616	0.87577474	0.7775403	0.6852181	0.81838965	0.8362981	0.94910264	0.87083405	0.8583602	0.6242451	0.863006	0.72436637	0.9180506	0.84431005	0.95149606	0.7232162	0.8918492	0.8957068	0.8568009	0.85846436
per/prep	0.82817364	0.8267404	0.5867176	0.89958626	0.55836594	0.998449	0.7118703	0.340208	0.9312216	0.98620766	0.9427543	0.83163476	0.585676	0.73321384	0.5633427	0.5101646	0.8450387	0.8998329	0.7179092	0.70278347	0.9261902	0.92202985	0.90080595	0.7172312	0.6426236	0.6430793	0.9265192	0.66654134	0.962417	0.9267629	0.7293591	0.70849895	0.8627275	0.5373244	0.9140028	0.42344975	0.6344039	0.78457564	0.45604563	0.8873439	0.897565	0.6209264	0.7345325	0.7624027	0.41831893	0.60815406	0.0	0.6821315	0.71255755	0.8754393	0.60221744	0.38741893	0.77442205	0.70913625	0.624931	0.5656032	0.4829707	0.7809539	0.8941315	0.9361993	0.65395737	0.47282296	0.5926403	0.69577646	0.9273144	0.49306303	0.65907896	0.7143146	0.41176522	0.66938734	0.59010965	0.5615097	0.78559935	0.76553905	0.81980693	0.9933346	0.94881195	0.62268466	0.5727865	0.7890751	0.8580907	0.713609	0.9662113	0.9272773	0.67250776	0.486104	0.91294295	0.93092626	0.8075882	0.55421674	0.790755	0.62095517	0.70057905	0.78189754	0.3442328	0.9297683	0.88979816	0.7098254	0.8968613	0.7380334	0.95473754	0.80989814	0.6154871	0.57246816	0.9247156	0.4762187	0.86909413	0.5407061	0.910908	0.64561236	0.64377236	0.7245916	0.5925381	0.56578445	0.88351315	0.70076466	0.4712624	0.5152629	0.9501243	0.92755914	0.6539023	0.58774745	0.84342754	0.63299894	0.66062415	0.8195236	0.8594614	0.92417246	0.46419793	0.6128738	0.82823646	0.55277264	0.9430207
en/vg	0.86969954	0.8302463	0.6789621	0.7044699	0.88137245	0.9860025	0.7686333	0.694437	0.7838783	0.7668048	0.874821	0.9063768	0.61321473	0.4227767	0.5238549	0.59320796	0.68743557	0.9327192	0.84528935	0.63913727	0.93660724	0.70709693	0.89257765	0.78823286	0.5821003	0.62895006	0.7187852	0.73245215	0.82412	0.7913934	0.6469611	0.795923	0.7444905	0.6676625	0.8130092	0.60859466	0.6547817	0.7215944	0.66793895	0.8559116	0.6903138	0.61816084	0.7920772	0.78360903	0.5784285	0.8202354	0.6821315	0.0	0.75589633	0.8069842	0.7508199	0.5369419	0.6473986	0.69012403	0.7921141	0.68903416	0.505728	0.76453954	0.7207478	0.7555536	0.74655324	0.67631626	0.7057133	0.858567	0.79394394	0.6304306	0.7641315	0.70383966	0.52276456	0.74756455	0.611577	0.73160315	0.85283947	0.7470474	0.78107226	0.9253773	0.89365715	0.72511184	0.5216719	0.804814	0.783054	0.8329524	0.7685333	0.7975496	0.72186124	0.5735267	0.713502	0.84724677	0.7090929	0.8772274	0.72887087	0.6203338	0.62218636	0.77338964	0.63482994	0.808022	0.9157555	0.85922545	0.70623136	0.6967896	0.8428773	0.79345727	0.64456046	0.6989765	0.8600297	0.7903937	0.7067737	0.63020164	0.91437864	0.77024555	0.837739	0.82944083	0.7758448	0.49418432	0.8296656	0.60472625	0.36761636	0.75889874	0.7423723	0.79209334	0.6695502	0.76940066	0.7098348	0.6724129	0.5561336	0.82771295	0.7120579	0.85792243	0.507744	0.5856453	0.74115336	0.7224463	0.75597537
zij/pron	0.9458698	0.37872982	0.8312471	0.912382	0.831214	0.78335804	0.69076115	0.7992119	0.77329326	0.92194265	0.72825444	0.78623295	0.77706367	0.7365058	0.63785523	0.6760863	0.7914895	0.9315471	0.76760006	0.7306912	0.9136543	0.7698118	0.9421576	0.74871105	0.7106253	0.7530601	0.7533783	0.87296915	0.8801321	0.8339603	0.6391131	0.84168935	0.832505	0.76865727	0.8784186	0.6483633	0.65399766	0.6911069	0.69556487	0.82562613	0.7763117	0.61098015	0.92900723	0.6744304	0.60726106	0.8368814	0.71255755	0.75589633	0.0	0.7254381	0.6261005	0.63648266	0.69329345	0.73721516	0.50279385	0.897422	0.64585984	0.847573	0.82095635	0.74330187	0.88964826	0.6106875	0.59879977	0.7362695	0.66993666	0.71163416	0.6170632	0.62905276	0.626214	0.7928995	0.668067	0.7050383	0.90413165	0.7632538	0.62775606	0.9557531	0.86731577	0.64479995	0.68972826	0.71548057	0.8452568	0.93338686	0.7844722	0.39041144	0.5655328	0.6731374	0.62380886	0.88629395	0.774412	0.95611936	0.69509536	0.8377701	0.66003287	0.74535656	0.6908361	0.7526326	0.9548785	0.9696043	0.83680093	0.5626308	0.91540146	0.7463973	0.7049155	0.7544292	0.8135155	0.82307273	0.90368396	0.7820934	0.74215186	0.8775441	0.8800353	0.8374023	0.7172015	0.7744829	0.6638905	0.667418	0.6969727	0.670817	0.8790942	0.8563001	0.7269384	0.8746263	0.8355962	0.72379756	0.7243635	0.7344627	0.78808385	0.43330443	0.7169378	0.6842253	0.62031376	0.8009446	0.617422
